cat,var,arr
BN,BN_ImmInit,nut_df
BN,BN_ImmInput,nut_df
BN,BN_ImmInputF,nut_df
BN,BN_Immob,nut_df
BN,BN_ImmPool,nut_df
BN,BN_InfluxTot,nut_df
BN,BN_LatInCum,nut_df
BN,BN_LatOut,nut_df
BN,BN_LatOutCum,nut_df
BN,BN_Leaching,nut_df
BN,BN_LeachingTot,nut_df
BN,BN_Lit,nut_df
BN,BN_LitInit,nut_df
BN,BN_NetBal,nut_df
BN,BN_NutVolatCum,nut_df
BN,BN_OrgNP,nut_df
BN,BN_RootBiomasNP,nut_df
BN,BN_RunOff,nut_df
BN,BN_RunOffLoss,nut_df
BN,BN_ScorchWRem,pcomp_df
BN,BN_Som,nut_df
BN,BN_SOMInit,nut_df
BN,BN_SOMLit,nut_df
BN,BN_StockInit,nut_df
BN,BN_StocksTotInit,nut_df
BN,BN_StockTot,nut_df
BN,BN_StockZone,zonenut_df
BN,BN_SumofFluxes,nut_df
BN,BN_SurfRO,nut_df
BN,BN_THarvCumAll,pcomp_df
BN,BN_TNdfaFrac,tree_df
BN,BN_TNFixAmountCum,treenut_df
BN,BN_TreeInc,nut_df
BN,BN_TreeInit,nut_df
BN,BN_TUptCum,treenut_df
BN,BN_TUptInc,treenut_df
BN,BN_WeedBiom,nut_df
BN,BN_WeedSeedBank,nut_df
BN,BN_WeedSeedInit,nut_df
BS,BS_Check,
BS,BS_ErosionFilterEffect,
BS,BS_GrossErosionCum,
BS,BS_Neg,
BS,BS_NetErosionCum,
BS,BS_Pos,
BS,BS_SoilCurr,
BS,BS_SoilCurrZn,zone_df
BS,BS_SoilDelta,
BS,BS_SoilIncr,zone_df
BS,BS_SoilInflowCum,
BS,BS_SoilInit,
BS,BS_SoilInitZn,zone_df
BW,BW_CumEvapoTrans,
BW,BW_DrainCumV,
BW,BW_EffluxTot,
BW,BW_Evap,
BW,BW_EvapCum,
BW,BW_FluxDiff,
BW,BW_InfluxTot,
BW,BW_LatInCum,
BW,BW_LatOut,
BW,BW_LatOutCum,
BW,BW_NetBal,
BW,BW_RunOff,
BW,BW_RunOffCum,
BW,BW_RunOn,
BW,BW_RunOnCum,
BW,BW_StockChange,
BW,BW_StockInit,
BW,BW_StockTot,
BW,BW_UptC,
BW,BW_UptCCum,
BW,BW_UptT,tree_df
BW,BW_UptTCum,tree_df
BW,BW_UptWCum,
BW,BW_VDrain,
BW,BW_WeedEvap,
C,C_AgronYields,crop_df
C,C_AgronYieldsCum,crop_df
C,C_AgronYPerType,zonecrop_df
C,C_AgYieldAcc,zonecrop_df
C,C_Biom,zonepcomp_df
C,C_BiomCan,zonepcomp_df
C,C_BiomCan_is,zone_df
C,C_BiomCanAvg,pcomp_df
C,C_BiomforResp,zone_df
C,C_BiomHarv_is,
C,C_BiomHarvest,zonepcomp_df
C,C_BiomHarvestCum,zonepcomp_df
C,C_BiomHarvestDay,
C,C_BiomHarvestDoY,
C,C_BiomHarvestEvent,
C,C_BiomHarvestFracD,
C,C_BiomHarvestPast,
C,C_BiomHarvestY,
C,C_BiomInc,zonepcomp_df
C,C_BiomStLv,zonepcomp_df
C,C_CanUp,zone_df
C,C_CropDayAc,zone_df
C,C_CropDays,zone_df
C,C_CumLim,zonelimit_df
C,C_CurLimFac,zonelimit_df
C,C_FracLim,limit_df
C,C_FruitLoss,zonepcomp_df
C,C_GroRes,zonepcomp_df
C,C_GrowsToday_is,
C,C_HarvestCum,zonepcomp_df
C,C_HarvIndAct,zone_df
C,C_Height,zone_df
C,C_HeightDec,zone_df
C,C_HeightInc,zone_df
C,C_HydEqFluxes,zone_df
C,C_Init,zonepcomp_df
C,C_LAI,zone_df
C,C_LAIMax,zone_df
C,C_MaintResp,zone_df
C,C_NBiom,zonenut_df
C,C_NDeficit,zonenut_df
C,C_NDemand,zonenut_df
C,C_NDfaTot,zonenut_df
C,C_NewCropPlanted,
C,C_NFIX,zonenut_df
C,C_NHarvestCum,zonenut_df
C,C_NInit,zonenut_df
C,C_NNecroLitF,zonenut_df
C,C_NPosgro,zonenut_df
C,C_NResidMulch,zonenut_df
C,C_NResidRemoved,zonenut_df
C,C_NRoot,zonenut_df
C,C_NTarget,zonenut_df
C,C_NTargetNBiomRatio,zonenut_df
C,C_NUptDeno,zonenut_df
C,C_NUptPot,zonenut_df
C,C_NUptRel,zonelayernut_df
C,C_NUptRelDeno,zonenut_df
C,C_NUptTot,zonenut_df
C,C_NWeedSeed,zonenut_df
C,C_NYield,zonenut_df
C,C_PlantDiesToday_is,zone_df
C,C_PotGroRed,zone_df
C,C_Resid,zonepcomp_df
C,C_ResidLast,zonepcomp_df
C,C_ResidMulch,zonepcomp_df
C,C_ResidRecycle,zonepcomp_df
C,C_ResidRemoved,zonepcomp_df
C,C_Respiration,zonepcomp_df
C,C_RespTemp,zone_df
C,C_Root,zonelayer_df
C,C_Root,zonelayer_df
C,C_Root,zonelayer_df
C,C_RootGrowth,zonepcomp_df
C,C_RootPlComp,zonepcomp_df
C,C_RtAllocAct,zonelayer_df
C,C_RtDecay,zonelayer_df
C,C_RtDecay,zonelayer_df
C,C_RtDecay,zonelayer_df
C,C_RtIncr,zonelayer_df
C,C_RtIncr,zonelayer_df
C,C_RtIncr,zonelayer_df
C,C_StLeafInc,zonepcomp_df
C,C_StLeaveMulch,zonepcomp_df
C,C_StRt,zone_df
C,C_TempDevStage,
C,C_WeedGermin,zonepcomp_df
C,C_WeedSeedBank,zonepcomp_df
C,C_WeedSeedDecay,zonepcomp_df
C,C_WeedSeedFall,zonepcomp_df
C,C_WeedSeedInflux,zonepcomp_df
C,C_Yield,zonepcomp_df
C,C_YieldCurr,zonepcomp_df
C,C_YieldInc,zonepcomp_df
CA,CA_ComplCrop,zone_df
CA,CA_CropSequen,zone_df
CA,CA_ExtOrg,inp_df
CA,CA_ExtOrgApply_is,inp_df
CA,CA_ExtOrgAppZn,zoneinp_df
CA,CA_FertAmount,zone_df
CA,CA_FertApp,
CA,CA_FertAppDoY,
CA,CA_FertApply_is,nut_df
CA,CA_FertAppTime,
CA,CA_FertAppYear,
CA,CA_FertN,nut_df
CA,CA_FertNZn,zonenut_df
CA,CA_ImmAmount,zonenut_df
CA,CA_ImmApp,nut_df
CA,CA_ImmDOY,nut_df
CA,CA_ImmInput,zonenut_df
CA,CA_ImmTime,nut_df
CA,CA_ImmY,nut_df
CA,CA_PastFertApp,
CA,CA_PastImmInp,nut_df
CA,CA_PlantDoY,zone_df
CA,CA_PlantTime,zone_df
CA,CA_PlantYear,zone_df
CENT,CENT_Bal_NP_Total,nut_df
CENT,CENT_BalLitter,nut_df
CENT,CENT_BalNeg,nut_df
CENT2,CENT2_BalNeg,nut_df
CENT,CENT_BalPos,nut_df
CENT2,CENT2_BalPos,nut_df
CENT,CENT_CO2Tot,
CENT,CENT_ExtInpNInc,nut_df
CENT,CENT_ExtOrgInputs,nut_df
CENT,CENT_InputCO2Tot,
CENT2,CENT2_LitMetStrInit,nut_df
CENT2,CENT2_LitSomTransfAcc,nut_df
CENT,CENT_LitterNInc,nut_df
CENT,CENT_LitterNInflow,nut_df
CENT2,CENT2_LittPoolsInit,nut_df
CENT,CENT_MetStrCTot,
CENT,CENT_NInc,nut_df
CENT2,CENT2_NInc,nut_df
CENT,CENT_NOut,nut_df
CENT2,CENT2_NOut,nut_df
CENT,CENT_SOMCO2Tot,
CENT,CENT_SOMCTot,
CENT2,CENT2_SOMMetStrInit,nut_df
CENT2,CENT2_SOMNInc,nut_df
CENT2,CENT2_SOMNinflow,nut_df
CENT2,CENT2_SOMPoolsInit,nut_df
CENT,CENT_StockInit,nut_df
