var,label,desc,unit,min,max
C_Tmin,Minimum Air Temperature for Crop,Minimum Air Temperature for Crop,0 Celsius,,
C_TOpt,Optimum Air Temperature for Crop,Optimum Air Temperature for Crop,0 Celsius,,
C_WeedGermFrac,,"Fraction of weed seeds in the seed bank that germinates when a new opportunity arises, e.g. at the end of a cropping season",fraction,0,1
C_WeedSeedBankInit,,Initial dry weight of weed seeds in seed bank,kg m-2,0,1
C_WeedSeedExtInflux,,Daily influx of weed seeds from outside of the plot,kg m-2 day-1,0,0.1
CA_CType,,"A graphical input parameter governing the type of crop planted in sequence, with the possibility of having different crops (and/or planting times) in different zones. Associated with type of crop in database.",,1,5
CA_DoYStart,,Day of year at which simulation starts,julian days,1,365
CA_ExtOrgApp_is,,"Parameter governing an option to have simulation with applying external organic input or not. Value 0 means not applying external organic input, value 1 means applying external organic input",,,
CA_FertApp_is,,"Parameter governing an option to have simulation with applying fertilizer or not. Value 0 means not applying fertilizer, value 1 means applying fertilizer",,,
CA_FertOrExtOrgAppAmount,,Amount of N or P fertilizer or external organic applied. A graphical input,g m-2,0,10
CA_FertOrExtOrgAppDoY,,Time of fertilizer or external organic input application. A graphical input parameter.,julian days,1,365
CA_FertOrExtOrgAppYear,,Year of fertilizer or external organic input application. A graphical input parameter.,,,
CA_ImmAmount,,Amount of immobile P fertilizer applied. A graphical input parameter,g m-2,,
CA_ImmDOY,,Time of immobile P fertilizer application. A graphical input parameter,julian days,1,365
CA_ImmY,,Year of immobile P fertilizer application. A graphical input parameter,,,
CA_PlantDoY,,Day of crop planting for each subsequent crop. A graphical input parameter.,julian days,1,365
CA_PlantYear,,Year of planting for each subsequent crop. A graphical input parameter,,,
CQ_AgronYieldMoistFrac,Standard moisture content,,,,
CQ_CHarvAlloc,Harvest Allocation,"Allocation of biomass to harvested parts (grain, tuber) as a function of crop growth stage.",,,
CQ_ClosedCan,Canopy biomass for closed canopy ,Amount of crop canopy biomass at which canopy is closed and nutrient demand per unit new biomass shifts from Cq_ConcYoung to Cq_ConcOld.,kg m-2,0,0.5
CQ_ClosedCanCurr,Canopy biomass for closed canopy ,Amount of crop canopy biomass at which canopy is closed and nutrient demand per unit new biomass shifts from Cq_ConcYoung to Cq_ConcOld.,kg/m2 ,,
CQ_CLWR,Leaf Weight Ratio,"Crop leaf weight ratio = gram of green leaf area per gram of shoot, for each crop species as a function of crop growth stage.",g m-2,,
CQ_ConcOld,,Nutrient concentration in crop tissue formed after biomass has reached the Cq_ClosedCan value.,,0,0.1
CQ_ConcRt,,N concentration in crop roots,,0,0.1
CQ_ConcYoung,Hydraulic conductivity of roots,Nutrient concentration in young crop biomass (before biomass has reached the Cq_ClosedCan value).,,0,0.1
CQ_ConductivityCurr,Hydraulic conductivity of roots,Nutrient concentration in young crop biomass (before biomass has reached the Cq_ClosedCan value).,cm/day ,,
CQ_CovEff,Crop cover efficiency factor,"Crop Cover Efficiency factor, used in calculating erosion (Erosion type 1)",,0,1
CQ_CovEffCurr,Crop cover efficiency factor,"Crop Cover Efficiency factor, used in calculating erosion (Erosion type 1)",,,
CQ_CRelLUE,Relative light use efficiency,Relative light use efficiency (fraction of Cq_GroMax achieved per unit light capture) for each type of crop grown as a function of crop growth stage.,,,
CQ_CRtAlloc,Root allocation ,,fraction,,
CQ_CSLA,Specific Leaf Area,,m2/kg,,
CQ_CTimeGenCurr,Length of generative stage,,days ,,
CQ_CTimeVegCurr,Length of vegetative stage,,days ,,
CQ_DOYFlwBeg,,The earliest day in a year when crop start to flowers,julian days,1,365
