var,label,desc,unit,min,max
PD_CeatenBy,,"Fraction of crop component lost if eaten by animals. Default animals are pigs, monkey, locust, nematode, goat, buffalo and birds",,0,1
PD_CFrugivore_is,,"A switch determining the presence of attack by each default animal. 0 = animals is not a crop frugivore,1 = animal is frugivore",,,
PD_CFrugivory,,Constant daily fraction of crop fruit biomass removed due to the action of frugivores,,0,1
PD_CHerbivore_is,,"A switch determining the presence of attack by each default animal. 0 = animals is not a crop herbivore,1 = animal is herbivore",,,
PD_CHerbivory,,Constant daily fraction of crop leaf biomass removed due to the action of herbivores,,0,1
PD_CRhizovore_is,,"A switch determining the presence of attack by each default animal. 0 = animals is not a crop rhizovore,1 = animal is rhizovore",,,
PD_CRhizovory,,Constant daily fraction of crop root biomass removed due to the action of rhizovores,,0,1
PD_CropsEaten_is,Fraction of crop eaten by,,,,
PD_FenceBuildDOY,,Schedule for day of fencing for each fencing event. A graphical input.,julian days,,
PD_FenceBuildLab,,Amount of labour needed to build fence for each fencing event. A graphical input.,person days,,
PD_FenceBuildY,,Schedule for year of fencing for each fencing event A graphical input.,,,
PD_FenceDecK,,Daily fractional decay of fence quality,day-1,0,1
PD_FenceFullQua,,Maximum quality of fence,,1,4
PD_FenceMaint_is,Fence maintenance,"Switch determining fence maintenance. 1 = fence maintenance will be done automatically, 0 = no fence maintenance",,,
PD_FenceMUnit,,Unit improvement of fence quality once it falls below the threshold set in PD_FenceQThresh,,0,2
PD_FenceQThresh,,Threshold of (relative) fence quality below which labour will be used to repair the fence,,0,2
PD_HalfFenceTime,,Time constant of decay of fence quality: time interval after which quality is reduced by 50%,days,0,365
PD_JumptheFence_is,,The degree to which animals are deterred by a fence from entering the plot,-,0,1
PD_PopDensOutside,,"Population density outside the plot, influencing the presence",-,,
PD_TEatenBy_is,Fraction of tree eaten by,"A switch determining tree attacks by specific animals. Default animals are pigs, monkey, locust, nematode, goat, buffalo and birds. 0 = no attack, 1 = attacked",0 or 1 (0),0,1
PD_TFrugivore_is,,"A switch determining the presence of attack by each default animal. 0 = animals is not a tree frugivore,1 = animal is frugivore",,,
PD_Tfrugivory&Abort,,Constant daily fraction of tree fruit biomass removed due to the action of frugivores,-,0,1
PD_THerbivore_is,,"A switch determining the presence of attack by each default animal. 0 = animals is not a tree herbivore,1 = animal is herbivore",,,
PD_THerbivory,,Constant daily fraction of tree leaf biomass removed due to the action of herbivores,-,0,1
PD_TLignivory,,Constant daily fraction of tree woody stem biomass removed due to the action of lignivores,-,0,1
PD_TLignovore_is,,"A switch determining the presence of attack by each default animal. 0 = animals is not a tree lignovore,1 = animal is lignovore",,,
PD_TRhizovore_is,,"A switch determining the presence of attack by each default animal. 0 = animals is not a tree rhizovore,1 = animal is rhizovore",,,
PD_TRhizovory,,Constant daily fraction of tree root biomass removed due to the action of rhizovores,-,0,1
RAIN_AType,Rainfall Type,"A number 1, 2 or 3 to decide rainfall rate (1= rainfall rate follows precipitation data from external file, rainfall rate follows tabulated data, 2 = rainfall rate follows random generator, 3= rainfall rate follows tabulated monthly total data)",,,
RAIN_BoundHeaLi,,Boundary value between heavy and light rain (only for Rain_AType=1),mm,20,30
RAIN_CoeffVar2,,"Coefficient variation of rainfall in mm, used in rainfall generated randomly (Rain_Atype=2)",,0,1
RAIN_CoeffVar3,,"Coefficient variation of rainfall in mm, rainfall based on tabulated monthly rainfall (Rain_Atype=3)",,0,1
RAIN_Cycle_is,,"Parameter governing ways to read rainfall data. Corresponds to Rain_AType=1 (0 = use multiple year rainfall data, 1 = use 1 year data in cycle/continuously)",,,
RAIN_Data,,Actual daily rainfall data. Entered as graphical function or read from Wanulcas.xls (STELLA non-CRT users only). Corresponds to Rain_AType=1.,mm,,
RAIN_DayP,,Probability of raining each day as a function of Julian day scaled monthly. Corresponds to Rain_AType=2 and 3.,,0,1
RAIN_GenSeed,,Seed Random Generator. For Rain_AType=2 and 3.,,1,32767
RAIN_Heavy,,Average precipitation rate of on a heavy rain day; for Rain_AType=2.,mm day-1,0,100
RAIN_HeavyP,,Probability of heavy rain; for Rain_AType=2.,,0,1
RAIN_IntensCoefVar,,Coeficient variance of rain intensity. Rain intensity is a factor affecting water infiltration. It is assumes to follow normal distribution with an average of Rain_IntensMean and standard deviation Rain_IntensMean*Rain_IntensCoefVar.,,,
RAIN_IntensMean,,Average rain intensity per hour. Rain intensity is a factor affecting water infiltration. It is assumes to follow normal distribution with an average of Rain_IntensMean and standard deviation Rain_IntensMean*Rain_IntensCoefVar,mm hr-1,,
RAIN_IntercDripRt,,The rate of water dripping from water on interception surface,mm hr-1,,
RAIN_IntMult,,Indicates the maximum temporary storage of water on interception surfaces, ,,
RAIN_Light,,Average precipitation rate of a light rain day day; for Rain_AType=2.,mm day-1,0,40
RAIN_MaxIntDripDur,,Maximum value of water interception delay before start to dripping,mm hr-1,,
RAIN_MonthlyMeanRainfallMax,,Maximum value of monthly mean rainfall,mm,,
RAIN_MonthlyMeanRainfallMin,,Minimum value of monthly mean rainfall,mm,,
RAIN_MonthlyMeanTotalrainfall,,Monthly mean rainfall on the wet day,mm,,
RAIN_MonthTot,,Tabulated data of monthly rainfall; for Rain_AType=3. Entered as graphical function or read from Wanulcas.xls (STELLA non-CRT users only).,mm month-1,,
RAIN_Multiplier,Rain Multiplier,Multiplier of rainfall for quick modifications of rainfall amount,,0,4
RAIN_NumberWetDaypM,,The number of wet day for each month,day,,
RAIN_OffSetValue,,Influence value of dry month. High value indicates low amount of rainfall at dry season.,,,
RAIN_Pattern1Max,,Maximum value of pattern. Pattern is calculated from shape value which is the maximum and the minimum value have been adjusted to the maximum and minimum value of total monthly rainfall.,,,
RAIN_Pattern1Min,,Minimum value of pattern.,,,
RAIN_PeakinessSeason1,,The sharpness of the first peak. High value indicates sharper peak.,,,
RAIN_PeakinessSeason2,,The sharpness of the second peak. High value indicates sharper peak.,,,
RAIN_PondFlwRt,,The rate at which water ponding on the surface will actually flow to a neighbouring zone or plot,mm hr-1 per m of zone width,,
RAIN_PondStoreCp,,The storage capacity of water ponding on the surface,mm,,
RAIN_Probabiity,,Ratio between season 1 and season 2,,,
RAIN_RelWetPersistencepM,,Monthly relative wet persistence,,,
RAIN_ShapeMax,,Maximum value of shape. Shape is a basic pattern of rainfall simulator model that use SINUS as the distribution function. This value will be used to determine Pattern value.,,,
RAIN_ShapeMin,,Minimum value of shape.,,,
RAIN_UniorBimodal_is,,An option to have one or two season of rainfall,,,
RAIN_WeibullParam,,Parameter of Weibull distribution. This Weibull parameter is used to predict the value of daily cumulative frequency of rainfall data.,,,
RAIN_Weight,Rainfall distribution,Input weight value to decide amount of rain falling on each zone relative to other zones (eg. equal rainfall in each zone on area basis means 1:1:1:1),,0,10
RAIN_WettestMonthSeason1,,The wettest month of the first season (January ? June),,,
RAIN_WettestMonthSeason2,,The wettest month of the second season (July ? December),,,
RAIN_YearStart,,Initial year based on rainfall data at which simulation starts,,,
RT_ACType,Type of crop root density data,"Parameter governing type of root density data for crop. 0=Lrv data available, 1=Lrv calculated using exponential function model where length root area is constant, 2= Lrv calculated using exponential function model where length root area is derived from root biomass",,,
RT_ATType,Type of tree root density data,"Parameter governing type of root density data for tree. 0=Lrv data available, 1=Lrv is constant calculated using ellipticall function model, 2= Lrv is calculated using elliptical function but dynamically changes according to water or N stress",,,
RT_CDecDepthC,Decrease of root with depth,Parameter governing decrease of crop root with depth; corresponds to Rt_ACType=1 and Cq_AType.,m-1,0,10
RT_CDistResp,Root distribution by depth in good uptake,"Responsiveness of crop root distribution to the depth at which uptake of the currently limiting resource (water, N or P) is most successful. Value 0 = no response to stress, 0 ? 1 = mild response, 1 = proportional change to inverse of relative depth of uptake, > 1 = strong response. Only for Rt_ACType = 2.",,0,3
RT_CHalfLife,,Crop root half-life (only for Rt_ACType=2),days,30,100
RT_CHalfLifeCurr,Root half life,,days ,,
RT_CLraC,Total root length per unit area,,cm/cm2 ,,
RT_CLraConst,,Total root length per unit area. It is used to calculate crop root density in exponential decrease model (Rt_ACType=1). Also corresponds to Cq_AType.,cm cm-2,0,150
RT_CLrvmi,,Maximum crop root length density in i-th soil layer; corresponds to Rt_ACType=0 and Cq_A Type.,cm cm-3,0,15
RT_CMultiplier,Crop root length density multiplier,Multiplier of root for quick modifications of crop root length density,dimensioless,,
RT_CRtAllocRespCurr,Root affected by water or nutrient stress,,,,
RT_CSRL,,Specific root length (length per unit dry weight) of crop roots,m g-1,50,100
RT_CSRLCurr,Length per unit root dry weight,,m/g,,
RT_MCHypDiam,Diameter of Crop Mycorrhiza,Diameter of crop mycorrhizal hyphae,cm,0.001,0.05
RT_MCHypL,Length of Crop Mycorrhiza,Length of crop mycorrhizal hyphae per unit infected root length,,10,100
RT_MCInfFraci,,Fraction of crop roots that is mycorrhizal (infected) in i-th soil layer,,0,1
RT_MTHypDiam,Diameter of Tree Mycorrhiza,Diameter of tree mycorrhizal hyphae,cm,0.001,0.05
RT_MTHypL,Length of Tree Mycorrhiza,Length of tree mycorrhizal hyphae per unit infected root length,,10,100
RT_MTInfFraci,,Fraction of tree roots that is mycorrhizaal (infected),,0,1
RT_TAlloc,Reserve allocated to root without stress,Fraction of tree growth reserves allocated to roots in the absence of water or nutrient stress (only for Rt_ATType=2),,0,1
RT_TAllocResp,Rensponsiveness of root to stress factor,"Responsiveness of tree root allocation to stress factors; 0 = constant root allocation, 1 = linear response to water and nitrogen stress, >1 more-than-proportional response (only for Rt_ACType = 2),",,0,2
RT_TDecDepthC,Decrease of root with depth,Parameter governing decrease of tree root with depth ; for Rt_ATType=1,m-1,0,10
RT_TDiam,Root tip diameter,,cm,,
RT_TDistResp,Root distribution by depth in good uptake,"Responsiveness of crop root distribution to the depth at which uptake of the currently limiting resource (water, N or P) is most successful. Value 0 = no response to stress, 0 ? 1 = mild response, 1 = proportional change to inverse of relative depth of uptake, > 1 = strong response. Only for Rt_ACType = 2.",m-1,0,5
RT_TDistShapeC,Tree root distribution shape ,Tree root distribution shape for Rt_ATType=1 and 2; for a value of 1 root length density decreases as much with horizontal as with vertical distance to the tree stem,m-1,0,2
RT_THalfLife,Root half life,Tree root half life (only for Rt_ATType=2),days,30,150
RT_THostEffForT1,,An option for simulation root parasitism tree 1 on others tree root,,,
RT_TLengDiam1,,Length of (branch) roots of a tree root with a proximal (at stem base) diameter of 1 cm; Intercept (a) of allometric equation (RootLength = a StemDiameterb). Calculation from Functional Branch Analysis (FBA). Input needed to run FBA refer to tree parameterization,cm cm-b,0.01,1
RT_TLengDiamSlope,,Power coefficient (b) of allometric equation (RootLength = a StemDiameterb). Calculation from Functional Branch Analysis (FBA). Input needed to run FBA refer to tree parameterization,,1,3
RT_TLraX0,Total root length per unit area (x=0),Total root length per unit area at X(distance to tree)=0 (tree stem). for Rt_ATType=1,cm cm-2,0,150
RT_TLrvL_par,Max. root length density,Tree root density in soil layer .i in each zone; for Rt_ATType=0,cm cm-2,0,15
RT_TMultiplier,Tree root length density multiplier,Multiplier of root for quick modifications of tree root length density,,,
RT_TProxGini,Gini coefficient,"Distribution coefficient of proximal root diameters (CumFreq = (Diam/Diammax)TProxGini of a tree, used in calculation of the specific root length of a tree root system",,0.001,10
RT_TWghtDiam1,,Biomass of a (branched) tree root with a proximal (at stem base) diameter of 1 cm; Intercept (a) of allometric equation (Root weight = a StemDiameterb). Calculation from Functional Branch Analysis (FBA). Input needed to run FBA refer to tree parameterization,kg cm-b z,0.01,1
RT_TWghtDiamSlope,,Power coefficient (b) of allometric equation (RootWeight = a StemDiameterb). Calculation from Functional Branch Analysis (FBA). Input needed to run FBA refer to tree parameterization,,1,3
S_BDBDRefDecay,,"Relative rate of decay of the bulk density, returning the surface infiltration rate toward S_SurfInfiltrPerKsatDef and the saturated hydraulic conductivity towards S_KSatDefV",day-1,0,0.1
S_C_RtStrucFormFrac,,Fraction of contribution of crop root decay on root channels,fraction per m,,
S_KSatDefVi,,"Saturated hydraulic conductivity of the soil in the absence of macropore structure, as derived from texture-based pedotransfer functions. Read and calculation from WANULCAS.XLS. Input needed to run pedotranfer refer to the sheet pedotranfer",cm day-1,1,500
S_KsatHperVi,,Ratio of saturated hydraulic conductivity in horizontal and vertical direction for layer i,,0,5
S_KSatInitVi,,Saturated hydraulic conductivity of the soil at the macropore structure existing at the start of the simulation. Read and calculation from WANULCAS.XLS. Input needed to run pedotranfer refer to the sheet pedotranfer,cm day-1,1,500
S_KSatVDeepSub,,"Saturated hydraulic conductivity of the soil below layer 4, determining the rate of vertical drainage from the soil column",cm day-1,1,100
S_RelSurfInfiltrInit,,Surface infiltration rate at the start of the simulation relative to its default value,,100,10000
S_RelWormLiti,,Relative impact of 'worms' (soil fauna) on increase of saturated hydraulic conductivity in each layer,,0,1
S_RelWormSurf,,Relative impact of 'worms' (soil fauna) increase of infiltration rate of the soil surface,,0,1
S_SoilStructDyn_is,Are you simulating a dynamic soil,"Switch determining dynamics of soil structure (0 = false, 1 = true) based on decay and re-creation of macropores by soil fauna above the texture-based default values",day-1,,
S_SurfInfiltrPerKsatDef,,Ratio of surface infiltration and Ksat for the first soil layer in the default condition of the soil as defined by the pedotransfer function,,25,10000
S_T_RtStrucFormFrac,,Fraction of contribution of tree root decay on root channels,fraction per m,,
S_WormsLikeLitMetab,,Activity (in arbitrary units) of soil fauna (?worms'') per unit of organic inputs in the litter metabolic pool,m2 kg-1,0.00001,0.1
S_WormsLikeLitStruc,,Activity (in arbitrary units) of soil fauna (?worms'') per unit of organic inputs in the litter structural pool,m2 kg-1,0.0000005,0.1
S_WormsLikeSOMMetab,,Activity (in arbitrary units) of soil fauna (?worms'') per unit of organic inputs in the SOM metabolic pool,m2 kg-1,0.000001,0.1
S_WormsLikeSOMStruc,,Activity (in arbitrary units) of soil fauna (?worms'') per unit of organic inputs in the SOM structural pool,m2 kg-1,0.00000005,0.1
SB_2ndFireafterPileup,,Number of days between puile up and secondary burn event,days,1,100
SB_CritMoist,,Limit value for internal + adhering (intercepted from rainfall) moisture content of slashed necromass; below this value necromass is categorized as dry and fire can take place,l kg-1,0,1
SB_DailyDeadWoodLitTransf,,Rate of transfer of daily dead wood litter per day,fraction day-1,,
SB_DailyNecromLitTransf,,Rate of transfer of necromass litter per day,fraction day-1,,
SB_DeadWoodFuelFact,,Temperature of the fire per unit dry weight of fuel in dead wood,oC kg-1,0,100
SB_FirImpPSorption,,"Fire impacts on P sorption, as a function of soil surface temperature increase",,,
SB_FirIndPMobiliz,,"Fire impact on mobilization fraction of P from the inorganic P immobile pool, as a function of soil surface temperature increase",,,
SB_FirMortSeedBank,,Fractional mortality in the weed seed bank as a function of soil surface temperature increment,,,
SB_FuelLoadFactor,,Temperature of the fire per unit dry weight of fuel in slashed necromass and structural surface litter,oC kg-1,0,100
SB_MaxDryingPer,,"The latest time after slashing when fire can occur; if the fuel does not get dry enough before this time, no fire will be occur",days,1,200
SB_MinDryingPer,,The earliest time after slashing that fire can occur,days,0,100
SB_NecroBurnFrac,,Fraction of surface necromass burnt as a function of fire temperature at the soil surface.,,,
SB_NutVolatFracN,,"Volatilization fraction of N in the burnt necromass, as a function of soil surface temperature increment",,,
SB_NutVolatFracP,,"Volatilization fraction of P in the burnt necromass, as function of soil surface temperature increment",,,
SB_pHRecFrac,,Daily recovery fraction of soil pH in the topsoil from its post-fire towards its pre-fire value,fraction,0.001,0.1
SB_PileUpFrac,,Fraction of dead wood pile up after slash and burn event,fraction,0,1
SB_PSorpRecFrac,,Daily recovery fraction of the P_sorption in the topsoil from its post-fire towards its pre-fire value,fraction,0.001,0.1
SB_ScorchWRemFrac,,Fraction of scorched wood removed after slash and burn event,fraction,0,1
SB_SlashDOY,,A graphical input tabulating day of year at which slashing is performed,julian days,,
SB_SlashYear,,A graphical input tabulating year at which slashing is performed,,,
SB_SOMBurnFrac,,Fraction of all SOM pools in the topsoil (Layer 1) respired (C) or mineralized (N & P) as a function of soil surface temperature increment,,,
SB_SurfLitBurnFrac,,Fraction of all surface litter respired (C) or mineralized (N & P) as a function of soil surface temperature increment,,,
SB_TimetoPileUp,,Number of days between primary burn and pile up (redistribution across the zones) for a secondary burn,days,1,100
SB_TimetoWoodRem,,Number of days between primary burn and removal of scorched wood,days,1,50
SB_TTempTol,Max. fire temperature tree can tolerate,Maximum fire temperature that a tree can tolerate. Temperature above the value will induce tree mortality,oC,40,90
SB_WatRetRecFrac,,Daily recovery fraction of soil water retention in the topsoil from its post-fire towards its pre-fire value,fraction,0.001,0.1
SB_WetnessTempImp,,Fractional reduction in fire temperature per unit of moisture content of the fuel,fraction,0,1
T_ApplyFBA_is,Apply allometric equation?,"Switch (1 = yes, 0 = no) to determine whether the allocation of biomass from the canopy to the wood (branches + stem) pools is governed by the fractal branching parameters (allometric equations).",,,
T_ApplyPalm_is,Fruit growth follows Oil Palm rules? ,"Switch (1 = yes, 0 = no) to determine whether the allocation of biomass to storage pool follows oil palm rule.",,,
T_BarkThickness,,"Bark thickness to calculate target of latex content, the thickness is following the growth of the tree.",cm,0,1
T_BrownBast_is,,"Switch (1 = yes, 0 = no) to determine whether the rubber tree infected by brownbast.",,,
T_CanBiomInit,,Initial amount of biomass in tree canopy (leaf and small stems),kg per tree,0,1
T_CanHMax,Max. canopy height above bare stem,Maximum height of tree canopy,m,0,15
T_CanMaintResp,,Fraction of canopy biomass use for maintenance respiration,,,
T_CanShape,Ratio between canopy width and height,"Factor determining in which part of the tree leaves are concentrated. A value of 1 gives an even spread of tree leaves over the alley, a higher value (eg 2) concentrates tree leaves above the hedgerow",,0,2
T_CanWidthMax,Max. canopy radius,"Maximum tree canopy width, half the canopy width (radius).",m,0,10
T_ConcFruit,,Nutrient concentration in fruit component,,0,0.1
T_ConcGroRes,,Nutrient concentration in carbohydrate reserves,,0,0.1
T_ConcLf,,N concentration in leaf component of tree,,0,0.1
T_ConcRt,,Nutrient concentration in tree roots (only for Rt_ATType=2),,0,0.1
T_ConcTwig,,Nutrient concentration in twig component of tree,,0,0.1
T_ConcWood,,Nutrient concentration in wood component of tree,,0,0.1
T_DiamBiom1,Intercept for total biomass equation,Biomass of a tree of diameter 1 cm; Intercept (a) of allometric equation (Branch biomass = a StemDiameterb). Calculation from Functional Branch Analysis (FBA). Input needed to run FBA refer to tree parameterization,kg ,0.01,1
T_DiamBranch1,Intercept for branch biomass equation,Intercept (a) of allometric equation (Tree branch biomass = a Diameterb). Calculation from Functional Branch Analysis (FBA). Input needed to run FBA refer to tree parameterization,kg ,0.01,1
T_DiamCumLit1,Intercept for litterfall equation,Cumulative litterfall expected for a stem diameter of 1 cm. Calculation from Functional Branch Analysis (FBA). Input needed to run FBA refer to tree parameterization,kg ,0.01,1
T_DiamLfTwig1,Intercept for Leaf&twig biomass equation,Intercept (a) of allometric equation (Leaf &Twigbiomass = a StemDiameterb). Calculation from Functional Branch Analysis (FBA). Input needed to run FBA refer to tree parameterization,kg cmb,0.01,1
T_DiamRtLeng1,Intercept of total root length equation,,cm,,
T_DiamRtWght1,Intercept of total root weight equation,,kg,,
T_DiamSlopeBiom,Power for total biomass equation,Power coefficient (b) of allometric equation (Branch biomass = a StemDiameterb). Calculation from Functional Branch Analysis (FBA). Input needed to run FBA refer to tree parameterization,cm-1,0,3
T_DiamSlopeBranch,Power for branch biomass equation,Power coefficient (b) of allometric equation (Tree branch biomass = a Diameterb). Calculation from Functional Branch Analysis (FBA). Input needed to run FBA refer to tree parameterization,cm-1,0,3
T_DiamSlopeCumLit,Power for litterfall equation,Power coefficient (b) of the alloemtric equation describing the increase of cumulative litterfall with stem diameter. Calculation from Functional Branch Analysis (FBA). Input needed to run FBA refer to tree parameterization,cm-1,0,3
T_DiamSlopeLfTwig,Power for Leaf&twig biomass equation,Power coefficient (b) of allometric equation (Leaf&Twig biomass = a StemDiameterb). Calculation from Functional Branch Analysis (FBA). Input needed to run FBA refer to tree parameterization,cm-1,1,3
T_DiamSlopeRtLeng,Power of total root length equation,,,,
T_DiamSlopeRtWght,Power of total root weight equation,,cm-1,,
T_DiamTreshHarv,Diameter of Timber Harvesting,Tree diameter of timber harvested,cm,,
T_DOY_1_LfFlush,,Day of the first cycle of leaf flush,julian days,1,365
T_DOY_2_LfFlush,,Day of the second cycle of leaf flush,julian days,1,365
T_DOY_Compl1LfFall,,Day when the first season of leaf completely dropdown,julian days,1,365
T_DOY_Compl2LfFall,,Day when the second season of leaf completely dropdown,julian days,1,365
T_DOY_SeaLitFall1Start,,Day when the first season of leaf starts dropdown,julian days,1,365
T_DOY_SeaLitFall2Start,,Day when the second season of leaf starts dropdown,julian days,1,365
T_DOYFlwBeg,Earliest day to flower in a year,The earliest day in a year when tree start to flowers,julian days,1,365
T_DOYFlwEnd,Latest day to flower in a year,The latest day in a year when tree start to flowers,julian days,1,365
T_DynTappingFrac,,Dynamic value of fraction of latex stock would be tapped everyday. The simulation will run using this dynamic value when T_BrownBast? switch to 1,,,
T_ExpRetThresh,,Threshold value of expected return to labour,,,
T_FracSeaLitFall1,,Fraction of tree canopy become litterfall,,0,1
T_FruitAllocMax,,Allocation of biomass to fruit each day,kg m-2 day-1,0,1
T_FruitAllocStage,,Graphical input parameter as a function of tree stage that determine how much fruit will produce from maximum fruit allocation,,,
T_FruitConc,Nutrient concentration in fruit component,,g/g,,
T_FruitHarvFrac,Fraction of fruit harvested,Harvest index for fruit. Constant value for every fruiting season,,0,1
T_FruitMoistFrac,,Standard moisture content for expressing marketable fruit of each tree,,0,1
T_GenLitFracMax,Maximum fraction of fruit drop,Fraction of fruit will drop,,0,1
T_GenLitStage,,Graphical input parameter as a function of tree stage that determine how many fruit will drop,,,
T_GraphPhenol_is,,"Parameter governing an option to simulate tree phenology using graph. Value 0 means tree phenology using phenology parameters, value 1 means tree phenology using graph",,,
T_GroMax,Max. growth rate,Maximum growth rate of hedgerows at full canopy closure,kg m-2 day-1,0,0.1
T_GroResConc,Nutrient concentration in carbohydrate reserves,,g/g,,
T_GroResFrac,Fraction of growth reserve,Fraction of tree carbohydrate reserves converted to biomass during regrowth stage after pruning,day-1,0,0.5
T_GroResInit,,Initial amount of tree carbohydrates as reserves of tree potential growth,kg per tree,0,1
T_GrowthResp,,,,,
T_HeartWoodAllocAftPruned_is,,"Parameter governing an option to simulate heartwood. Value 0 means after pruning no sapwood biomass that allocated to heartwood biomass, value 1 means after pruning all sapwood biomass allocated to heartwood biomass.",,,
T_InitStage,Initial stage,"Initial stage of tree when it was planted. If tree already growing at the start of simulation, it is the stage at the start of simulation time",,0,2
T_KillDOY,,"Schedule date, day of year to kill tree",julian days,1,365
T_KillY,,"Schedule date, year to kill tree",,,
T_KLight,Extinction light coefficient,Tree canopy (leaves component) extinction light coefficient = the efficiency of tree foliage in absorbing light,,0,1
T_LAIMax,Maximum leaf area index,Maximum value of LAI in the tree canopy,,0,5
T_LAIMinMaxRatio,Ratio leaf area index min. and max.,Parameter describing canopy thickness/dense. Value 1 is maximum thickness,,0,1
T_LatexFormResp,,Respiration for Latex formation,,,
T_LatexMainResp,,Fraction of latex production use for maintenance respiration,,,
T_LatexMoistFrac,,Standard moisture content for expressing marketable latex of each tree,,0,1
T_LatexRecoveryTime,,Time for latex to recover.,,,
T_LfConc,Nutrient concentration in leaf component,,g/g,,
T_LifallDroughtFrac,Litterfall caused by drought,Fraction of tree biomass becomes litterfall due to drought,day-1,0,1
T_LifallRed,Reducing factor for N and P of litterfall,,,,
T_LifallThreshWStress,Treeshold value for litterfall due to drought,Threshold value for tree litterfall due to drought,,0,1
T_LifallWeight,,Input weight value governing amount of tree litterfall going into each zone relative to other zones (eg. 1:1:1:1 means equal mulch given in each zones on area basis),,0,10
T_LignLifall,Lignin fraction of litterfall,Lignin concentration of tree litterfall (eg. 20%=0.2),,0,1
T_LignPrun,Lignin fraction of pruned biomass,Lignin concentration of pruned tree biomass (eg. 20%=0.2),,0,1
T_LignRt,Lignin fraction of root,Lignin concentration of tree root,,0,1
T_LWR,Leaf weight ratio,Leaf Weight Ratio = leaf dry weight per unit shoot dry weight,,0,5
T_MaxBarkLatexContent,,Maximum of latex content in bark,,0,1
T_MaxGrowthUtFrac,,,,,
T_MaxUseFrac,,,,,
T_MemExpY,,"How much a farmer forget previous yield (latex yield) and use it as a basis for his expectation of future latex yield, value in 0 - 1. 0 = he remembers fully, 1 = he forgets fully",,0,1
T_MinDiamforTappingcm,,Minimum tree diameter for tapping,cm,10,15
T_MycMaxInf,Fraction of roots infected by mychorrhiza,Fraction of tree roots infected by mychorrhiza for a soil layer where the Rt_MTInfFrac parameter is 1,,0,1
T_NFixDayFrac,Proportion of N from atmosphere,Fraction of current N deficit derived from atmospheric N2 fixation per day for each tree if T_NFixVariable = 1 (('true'),day-1,0,1
T_NFixDWMaxFrac,Fraction of reserve pool for N2 fix. ,Maximum fraction of the T_GroRes[Dw] pool that can be respired for N2 fixation if T_NFixVariable = 0 (('false'),day-1,0,0.5
T_NFixDWUnitCost,Dry weight cost for N2 fixation,"Dry weight cost for respiration per unit N2 fixation, if T_NFixVariable = 0 (('false')",kg [dw]  g-1 [N],0,1
T_NfixResp,Responsiveness of N2 fix. to N stress,"Responsiveness of N2 fixation to N stress (N in biomass divided by N target), if T_NFixVariable = 0 (('false')",,0,5
T_NFixVariable_is,Type of N2 fixation,"Switch (0 = false, 1 = true) to choose between variable (N-stress dependent) versus constant N2 fixation as fraction of N deficit",,,
T_NlifallRed,,Reducing factor for nutrient concentration of tree litterfall which depend on type of tree,,0,2
T_NutMob,Relative transfer rate for N and P pool,,cm2/day,,
T_NutMobT,,"Relative rate of transfer, per unit root length density (cm cm-3), from the 'immobile' pool of nutrients to the 'mobile' or sorbed pool, due to Crop root activity",m2 day-1,0,0.02
T_PanelQuality1,,Bark available for tapping at the first period of tapping,,,
T_PanelQuality2,,Bark available for tapping at the second period for tapping,,,
T_PanelRecoveryTime,,Recovery time of bark have been tapped that would be available for next period of tapping,days,,
T_PlantDOY,,Schedule for date of planting time. Entered from Wanulcas.xls,julian days,,
T_PlantY,,Schedule for year of planting time. Entered from Wanulcas.xls,,,
T_PolypLifall,Polyphenol fraction of litterfall,Polyphenol concentration of tree litterfall (eg. 3 %=0.03),,0,1
T_PolypPrun,Polyphenol fraction of pruned biomass,Polyphenol concentration of pruned tree biomass (eg. 3 %=0.03),,0,1
T_PolypRt,Polyphenol fraction of root,Polyphenol concentration of tree root,,0,1
T_PrunDoY,,Schedule for date of pruning. Entered from WANULCAS.XLS,julian days,1,365
T_PrunFracC,Constant Pruning Fraction,"Fraction of canopy that gets pruned, for T_PrunType = 0. Constant for every pruning",,0,1
T_PrunFracD,,"Fraction of tree canopy that gets pruned, for T_PrunFrac? = 1",,0,1
T_PrunHarvFracC,Constant Harvested Pruning Fraction,"Fraction of pruned canopy that harvested (not return to the system), for T_PrunType? = 0. Constant for every pruning.",,0,1
T_PrunHarvFracD,,Fraction of tree pruned biomass harvested. Value changes overtime,,,
T_PrunLimit,,"Critical total LAI of all trees shadowing the crop zone, triggering a pruning event", ,0,5
T_PrunMoistFrac,,Standard moisture content for pruned biomass of each tree,,0,1
T_PrunPlant_is,,"Parameter governing pruning decision. 1 = tree is automatically pruned before crop planting, 0 = tree does not automatically pruned",,,
T_PrunRecov,Days before trees resprout,Time needed for tree to recover after pruning,days,0,30
T_PrunStageLimit,,The latest crop stage at which automatic pruning is still performed. Corresponds to T_PrunPlant? = 1,,1,2
T_PrunType_is,,"This parameter govern the type of pruning events. 0 = Pruning determined automatically based on canopy denseness (tree LAI). Associated with T_PrunLimit and Tree_StageLimit. 1 = Pruning determined by calender. Assciated with Pruning section in sheet Tree Management, Wanulcas.xls",,,
T_PrunWeight,Prunning Event,Input weight value governing amount of tree pruning going into each zone relative to other zones (eg. equal pruned biomass given in each zones on area basis means 1:1:1:1 ),,0,10
