var,group
TF_PhyllochronStressFac,Vegetative stage (Phyllocron time)
TF_LeafCumInit,Vegetative stage (Phyllocron time)
TF_MaleThresh,Generative stage (Sex determination)
TF_MThreshtoWatStress,Generative stage (Sex determination)
TF_FirstBudtoFlowerInit,Generative stage (Sex determination)
TF_MaleSinkperBunch,Generative stage (Dry weight bunch increment)
TF_FemSinkperFruit,Generative stage (Dry weight bunch increment)
TF_TargetOilperBunch,Generative stage (Oil Production)
TF_DWCostUOil,Generative stage (Oil Production)
TF_FruitWaterPot,Generative stage (Number of fruit per bunch)
TF_CritFruitWaterPot,Generative stage (Number of fruit per bunch)
TF_StageAbortSens,Generative stage (Number of fruit per bunch)
TF_WatStressAbortFrac,Generative stage (Number of fruit per bunch)
TF_AbRelSizePow,Generative stage (Number of fruit per bunch)
P_TPlantLab,Labour 
P_TPrunLab,Labour 
P_TFruitHarvLab,Labour 
P_TWoodHarvLab,Labour 
P_TLatexHarvLab,Labour 
P_TFertLab,Labour 
P_TSeedPrice,Input costs
P_TWoodPrice,Tree Products
P_TFruitPrice,Tree Products
P_TLatexPrice,Tree Products
P_TPrunPrice,Tree Products
