var,sub_var,order,Cacao Sulawesi,Cacao-Di,Cacao-M,Cacao-N,Cacao-V,Cacao-Da,Nephelium sp,Artocarpus integer,Psidium guajava L.,Eugenia aquea,Phitecellobium jaringa,Paraserianthes falcataria,Anacardium occidentale,Leucaena leucocephala,Artocarpus heterophyllus,Parkia sp.,Hevea brasilinsis,Annona muricata L.,Gnetum gnemon,Theobroma cacao,Durio zibenthinus Murr.,Mangifera indica,Ceiba pentandra,Achras zapota,Acasia mangium,Tectona grandis,Elais guneensis,Swietenia mahogany,Swietenia macrophilla,Alstonia sp,Peronema canescens,Coffee sp,Bamboo,Gmelina arborea,Lansium domesticum
T_DiamSlopeBiom,,55,2.7,2.875927669,2.65,2.774157991,2.774157991,2.875927669,2.908291421,2.774310963,2.836887529,2.761834279,2.941249863,3.199383007,2.968936875,3.084223389,3.194647097,3.204266804,2.62,3.022162034,2.808860671,2.774157991,2.742779925,2.28419,3.097978949,2.947863285,2.0836,2.382,2.94037653,2.724647185,1.86198,,,2.824356995,2.278,1.39424,2.19131
T_DiamBranch1,,56,0.017,0.016726293,0.017,0.00119782,0.00119782,0.016726293,0.001033104,0.000854462,0.000755945,0.000834879,0.000915181,0.000621437,0.000629311,0.001047486,0.000900419,0.00101192,0.0416,0.000620149,0.000838266,0.00119782,0.001146918,0.00063,0.000511109,0.000588394,0.2825,0.1039,0.001094098,0.001114049,0.00059,,,0.082129084,0.0917,0.0036,0.0014
T_DiamSlopeBranch,,57,2.266727531,2.266727531,2.266727531,2.936905693,2.936905693,2.266727531,3.254062683,3.236510186,3.082584201,3.09572491,3.202735768,3.268649695,3.284082616,3.297129747,3.400388424,3.46613466,2.62,2.916740614,3.162749741,2.936905693,2.77882658,4.36131,3.22982456,3.338598653,2.0816,2.3578,3.322060109,3.95630587,4.03426,,,2.195715516,1.5946,2.68865,3.73952
T_DiamLfTwig1,,58,0.014,0.014262458,0.014,0.024557684,0.024557684,0.014262458,0.026755451,0.023143111,0.016311293,0.020697336,0.01739811,0.004625498,0.011520605,0.019499738,0.011356951,0.019410151,0.0244,0.006261876,0.014629981,0.024557684,0.012571373,0.49157,0.007548127,0.00989761,0.0329,0.0493,0.036577873,0.041109221,3.29452,,,0.078296198,0.0262,2.44472,0.39103
T_DiamSlopeLfTwig,,59,1.9,1.605408615,1.9,1.442710552,1.442710552,1.605408615,1.765702351,1.866742674,1.666804334,1.791902047,1.75333563,1.922036903,2.049835574,1.775457765,1.917353537,1.887102683,2.62,1.685457659,1.826350098,1.442710552,1.295448626,2.21671,2.253359959,2.176900624,2.2379,2.427,1.797975805,2.323916699,1.83067,,,1.987694692,0.4556,1.27734,2.0826
T_DiamCumLit1,,60,0.000075,5.72E-05,0.00005,5.72E-05,5.72E-05,5.72E-05,0.000211637,8.26E-05,7.38E-05,0.000115792,0.000121822,1.58E-05,0.000135623,0.000195444,0.00013731,0.000195373,0.0025,2.80E-05,8.11E-05,5.72E-05,1.91E-05,0.02117,8.15E-05,8.45E-05,0.0015,0.0016,0.000376574,2.02E-05,0.1451,,,0.000566584,0.0131,1.14724,0.02446
T_DiamSlopeCumLit,,61,4.4,3.774157991,4.5,3.774157991,3.774157991,3.774157991,3.908291421,3.774310963,3.836887529,3.761834279,3.941249863,4.199383007,3.968936875,4.084223389,4.194647097,4.204266804,3.0039,4.022162034,3.808860671,3.774157991,3.742779925,3.28419,4.097978949,3.947863285,3.0939,3.0039,3.94037653,3.724647185,2.86198,,,3.824356995,0.2278,2.39424,3.19131
T_WoodDens,,62,420,420,420,420,420,420,900,545,750,925,600,330,500,550,610,600,600,360,760,,570,650,210,1010,530,700,400,640,545,460,630,700,670,700,798
RT_TDiam,,63,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,0.1,,,,,,,,0.1,0.1,0.1,,,,,0.1,0.1,,
RT_TLrvL_par,1_1,64,4,4,4,4,4,4,0.0001,,,,,,,,,,0.469758367,,,,,,,,1.109209085,1.223130127,15,,,,,1,1.14,,
RT_TLrvL_par,2_1,65,2.9042,2.9042,2.9042,2.9042,2.9042,2.9042,4.9,,,,,,,,,,0.135077478,,,,,,,,0.051025728,1.583171234,8,,,,,0.6,1.51,,
