var,sub_var,order,Cacao,Cacao-Di,Oil palm,Cacao-N,Cacao-V
TF_StageAbortSens,Ripe6,198,0,0,0.22,0.22,0
TF_StageAbortSens,Ripe7,199,0,0,0.3,0.3,0
TF_StageAbortSens,Ripe8,200,0,0,0.43,0.43,0
TF_StageAbortSens,Ripe9,201,0,0,0.78,0.78,0
TF_StageAbortSens,Ripe10,202,0,0,0.73,0.73,0
TF_StageAbortSens,Ripe11,203,0,0,0.19,0.19,0
TF_StageAbortSens,Ripe12,204,0,0,0.06,0.06,0
TF_StageAbortSens,EarlyFruit,205,0,0,0.11,0.11,0
TF_StageAbortSens,Pollinated,206,0,0,0.52,0.52,0
TF_StageAbortSens,Anthesis,207,0,0,0.65,0.65,0
TF_StageAbortSens,Anthesis1,208,0,0,0.595,0.595,0
TF_StageAbortSens,Anthesis2,209,0,0,0.595,0.595,0
TF_StageAbortSens,Anthesis3,210,0,0,0.595,0.595,0
TF_StageAbortSens,Anthesis4,211,0,0,0.595,0.595,0
TF_StageAbortSens,Anthesis5,212,0,0,0.595,0.595,0
TF_StageAbortSens,Anthesis6,213,0,0,0.595,0.595,0
TF_WatStressAbortFrac,,214,0,0,0.05,0.1,0
TF_AbRelSizePow,,215,0,0,2,2,0
P_TPlantLab,,216,0.05,0.05,0.126,0.3,0.3
P_TPrunLab,,217,0.02,0.02,0.000404959,0.1,0.1
P_TFruitHarvLab,,218,0.04,0.04,0.00113,0,0
P_TWoodHarvLab,,219,0,0,0,0,0
P_TLatexHarvLab,,220,0,0,0,0,0
P_TFertLab,,221,2,2,4.5,0,0
P_TSeedPrice,Social,222,1000,1000,8000,38,38
P_TSeedPrice,Private,223,1000,1000,8000,38,38
P_TWoodPrice,Social,224,521.51,521.51,0,0,0
P_TFruitPrice,Social,225,8000,8000,1400,0,0
P_TLatexPrice,Social,226,0,0,0,0,0
P_TPrunPrice,Social,227,0,0,0,0,0
P_TWoodPrice,Private,228,521.51,521.51,0,0,0
P_TFruitPrice,Private,229,8000,8000,1400,0,0
P_TLatexPrice,Private,230,0,0,0,0,0
P_TPrunPrice,Private,231,0,0,0,0,0
